Chal bhai  Samsher  Shaabash | DEL
Bhai chheti kar le thodi | DEL
Bola tha Samsher chutiye ko mat laana  And shand phenkta hai | DEL
Ae taa gaand faad maamla ho gaya | DEL
Er woh  work in progress chaal rya hai | DEL
Ek aadh din hor | DEL
taa teen maheeniyan tohn sun rya | DEL
haan paahji  Do vaari release date push ho chuki hai | DEL
Do vaari hoarding laag chuke ne | DEL
We are sorry  Paahji  We   ll have to call this deal off | DEL
Tommy yaar | DEL
Ho gayi dealein off Hun fad lo tattey | DEL
Nahi Tommy veerey  aeda na bol | DEL
Not working out  Pancho  what am Your girlfriend | DEL
Bhenchod  tu Tommy nu fire karenga | DEL
Line lag jaani hai kal jadon market vich news aayegi | DEL
Sver di tatti tohn pehlaan agla contract sign hoga | DEL
Bhushan kad da peechhe peya hai | DEL
tenu pata vi hai gaandu | DEL
Janamdin diya lakh lakh vadhaaiyaan | DEL
Tenu pata hai  Mexico vich aise aise shaher ne jitthe pulce paiyr nahi rakh sakdi | DEL
Poora kanoon gaandu druglords da | DEL
Paahji dont mind  Par itthe pulce ne kede jhande gaadte | DEL
Haan rok pen de yaar nu | DEL
Meher baabe di Rani doabe di | DEL
Paper kitthe ne tere | DEL
Tenu pata nhi election da time hai  Bina paper ghoomda hai laudu | DEL
Ae vekho paahji packaging | DEL
Branding shanding hon lagi hai | DEL
Hor pehlaan taa tempo aaunde si  hun truck de truck aa rhe ne  lad lad ke | DEL
Baby  aenu hi taa tarakki kehende | DEL
ne  Green Revolution Part Two | DEL
Par paahji  saadi tarakki da ki | DEL
Naake da rate taa o hi hai Dus hajaar | DEL
Paahji  mainu lagda hai inna ne Punjab Pulce nu take for granted le leya ae | DEL
Law and order tohn koi darda hi nhi | DEL
Aes trah taa ae vi Mexico ban jaana hai | DEL
Pancho Mexico banaayega Hain | DEL
Das de apne maalak nu  Rate vadhaao | DEL
nahi taa kal tohn red light red light no green light | DEL
Chal paj ja koosya | DEL
Jee janaab durust    jee | DEL
Chal veerey  Tainu law and order di pahonch vikhaana | DEL
Baby baith Bolero mein tera happy birthday banaayenge | STD
Cocaine seize karo saari di saari | DEL
Tommy nu fad oye | DEL
Pencho music bandh karwao | DEL
Paahji ki ho gaya | DEL
Aao tussi aapaan gal karne ha | DEL
Naa Sirji  aaj koi gal shal nhi honi | DEL
Ut tohn order aaya hai | DEL
Tommy nu pehj do saade naal  nahi taa main saareya nu andar kaar dena hai | DEL
Tommy taa shaami London chala gaya | DEL
Who is The Gabru | DEL
Main suneya nahi | DEL
roti nhi khaadi | DEL
Tommy gaya nahi abhi tak | STD
Tommy taan aetthe hi hai par ae cocaine shocaine taan chhad di oney | DEL
Balli nu coaching le jaayin | DEL
Sut ta paya hai | DEL
Ghar vich aenkaa laa ke ghoomda hai | DEL
Balli  Balli  Uth oye Coaching nhi jaana | DEL
Chal tyaar ho | DEL
Hor ae fuddu da poster hataa | DEL
tight beh  kaaka | DEL
Dhyaan kitthe hai tera | DEL
Kedi duniya vich rehenda hai | DEL
Hor beeji das ri si ghar vich aenkaa laa ke ghoomda hai Hain | DEL
Kudi shudi da chakkar tey nhi paa leya | DEL
Paihe chahide | DEL
Je su su dee gaya tey chaped peni hain | DEL
Aaj do de bey | DEL
Daaktar ko dikhaana hai | EUP
Pet dukh raha hai | STD
Baarah baje tak naa aayi toh full day katega | STD
Wo waala saabun | STD
Wo laal waala | STD
Wo pehle toh ekdum bheed laga rehta tha chai dukaan pe | EUP
Ab chai kaun peeta hai | STD
Pade honge khandaron mein nashedi bhenchod | STD
Pose vekhya si Tommy da | DEL
Ae pencho | DEL
Isi ke bhai ne pakda hai Tommy ko | STD
Laudu master | DEL
Bura maan gayi meri jaan | STD
Kaun hai bhenchod | STD
Maal maal chahiye tumko | STD
Kya hai tere paas | STD
Haan wahi Heroin | STD
Paise nahi hain mere paas | STD
Unse poochh | STD
Tum poochho | STD
Kamisan le lena | EUP
Kitne mein bechegi | STD
Kitna doge | STD
Teen hazaar | STD
Kitni hai | STD
Paanch | STD
Kal aa Baat kar ke rakhta hoon | STD
Poore paanch gram hai na | STD
Paanch kilo | STD
Kaun hai | STD
main haan | DEL
Aa rya haan | DEL
Bakwaas na kar | DEL
Itna maal | STD
Chahiye toh bolo | STD
Time mat khoti karo | BOM
Sun Yehaan koi nahi khareedega | STD
Ambarsar mein ek party hai | DEL
Uska chhota bhai school mein padhta tha | STD
Number do uska | STD
Dus taka | STD
Thulle da bhai | DEL
Ruk jaa thoda Ghanta vi nhi hoya | DEL
Kyun roadie ban rya hai | DEL
jaa oye lun | DEL
Kanjaraon  ae coaching hai twaadi | DEL
Doctor saab bach jaayega na | DEL
Visiting doctor aa rahe hain | STD
Main intern hoon | STD
Toh bulaao keda doctor hai | DEL
Nahi Circuit House se shuru karenge | STD
fir  Office ke saamne dharna | STD
Traffic police ko inform karo | STD
Aur is baar naye banner | STD
Side pe toh lita dete | STD
Kitni baar bataaya hai | STD
Nalaxone Hydrochloride ka injection banaao | STD
Madam theek toh ho jaayega na | STD
Baahar baitho aap Chalo | STD
Madamji Thank you | STD
Liya kya hai isne | STD
Abhi kehna mushkil hai | STD
Par itna bata sakti hoon ki kaafi time se le raha hai | STD
Dosage bhi high hai | STD
Nahi Madamji Wo laundon ne pakad ke karwa di hogi aaj | STD
Balli aisa ladka nahi | STD
Haath dekha hai uska | STD
Nasein kaali pad gayi hain suiyaan ghusa ghusa ke | STD
Saade mundey taa theek hain | DEL
horaan de kharaab hain | DEL
Koi idea hi nahi tha | STD
Madamji Main kya poochh raha tha ki | STD
Chhod toh dega na woh | STD
Us pe hai | STD
Aur aas paas ke maahaul pe | STD
Family yaar dost | STD
Itni high dependence pe banda sahi bura sochne ki capacity kho deta hai | STD
Chhota hai mera | STD
Baapu mere ute chadh ke gaya si | DEL
Discharge ke baad use mere clinic pe le aana | STD
Koshish karenge ki chhoot jaaye | STD
Maal khareedna hai | STD
Paanch kilo heroin | STD
Dobara phone nahi karenge | EUP
Rate bol | STD
Teen hajaar | DEL
Address likh | STD
hello Sun oye | DEL
Meri Brar saab naal gal karwa de | DEL
Main oudi kudi Manpreet dey vyah vich perform kitta si | DEL
sun le yaar | STD
paani taa de de | DEL
Hai koi | STD
Kee hoya Kaar jaana hai | DEL
Jaa na | STD
Arey bail wail taa hodi rahegi | DEL
Tussi taa celebrity ho | DEL
Kartarey jeep kad Saab nu kaar chhadna hai | DEL
Pehlaan banda ban ja | DEL
fer bani Fuddu saala | DEL
Ambarsar ud da | DEL
Jallandhar ud da | DEL
Ud da Ludhiana Moga | DEL
Tu vi ud le Gabru mere | DEL
Ki soche hun ki hoga | DEL
Baapu ud da Launda ud da | DEL
Ud dey chaache maame | DEL
Rustam ud dey Daarey ud dey | DEL
Ud dey pehelwan Gaamey | DEL
Asi aathvin vich seege paahji | DEL
Jadon twaada gaana aaya si | DEL
Tadon da bas twaade varga banna si | DEL
The Gabru | DEL
Pehli baar jab sui andar utari thi | STD
aapki jaan kasam | STD
aap hi ki fotu aayi thi saamne | DEL
Maayi hove maa nu maarta | DEL
